"data/ca4663.tsp"
"data/dj38.tsp"
==================================================
File: "dj38.tsp" (Vertices: 38)
Running Genetic_PMX with 100 iterations...
  Iteracja 44/100 | Cost: 27603 | Time: 21 ms
  Iteracja 45/100 | Cost: 27603 | Time: 20 ms
  Iteracja 46/100 | Cost: 27603 | Time: 20 ms
  Iteracja 47/100 | Cost: 27603 | Time: 21 ms
  Iteracja 48/100 | Cost: 27603 | Time: 21 ms
  Iteracja 49/100 | Cost: 27603 | Time: 21 ms
  Iteracja 50/100 | Cost: 27603 | Time: 22 ms
  Iteracja 51/100 | Cost: 27603 | Time: 22 ms
  Iteracja 52/100 | Cost: 27603 | Time: 21 ms
  Iteracja 53/100 | Cost: 27603 | Time: 23 ms
  Iteracja 54/100 | Cost: 27603 | Time: 23 ms
  Iteracja 55/100 | Cost: 27603 | Time: 21 ms
  Iteracja 56/100 | Cost: 27603 | Time: 21 ms
  Iteracja 57/100 | Cost: 27603 | Time: 21 ms
  Iteracja 58/100 | Cost: 27603 | Time: 22 ms
  Iteracja 59/100 | Cost: 27603 | Time: 23 ms
  Iteracja 60/100 | Cost: 27603 | Time: 22 ms
  Iteracja 61/100 | Cost: 27603 | Time: 21 ms
  Iteracja 62/100 | Cost: 27603 | Time: 22 ms
  Iteracja 63/100 | Cost: 27603 | Time: 21 ms
  Iteracja 64/100 | Cost: 27603 | Time: 21 ms
  Iteracja 65/100 | Cost: 27603 | Time: 21 ms
  Iteracja 66/100 | Cost: 27603 | Time: 20 ms
  Iteracja 67/100 | Cost: 27603 | Time: 27 ms
  Iteracja 68/100 | Cost: 27603 | Time: 24 ms
  Iteracja 69/100 | Cost: 27603 | Time: 27 ms
  Iteracja 70/100 | Cost: 27603 | Time: 21 ms
  Iteracja 71/100 | Cost: 27603 | Time: 27 ms
  Iteracja 72/100 | Cost: 27603 | Time: 21 ms
  Iteracja 73/100 | Cost: 27603 | Time: 21 ms
  Iteracja 74/100 | Cost: 27603 | Time: 21 ms
  Iteracja 75/100 | Cost: 27603 | Time: 25 ms
